iter	Passed	Remaining
701	15487	6574
702	15512	6553
703	15538	6533
704	15562	6511
705	15587	6491
706	15609	6469
707	15636	6449
708	15657	6426
709	15680	6404
710	15703	6382
711	15723	6360
712	15745	6338
713	15766	6315
714	15787	6292
715	15809	6270
716	15830	6248
717	15850	6225
718	15884	6207
719	15914	6189
720	15937	6167
721	15957	6144
722	15987	6125
723	16008	6102
724	16029	6080
725	16050	6057
726	16068	6033
727	16089	6011
728	16110	5989
729	16134	5967
730	16153	5944
731	16173	5921
732	16193	5898
733	16214	5876
734	16234	5853
735	16255	5830
736	16282	5810
737	16304	5788
738	16324	5765
739	16342	5742
740	16362	5719
741	16381	5695
742	16401	5673
743	16421	5650
744	16445	5629
745	16465	5606
746	16490	5585
747	16514	5563
748	16538	5542
749	16561	5520
750	16582	5498
751	16603	5475
752	16620	5452
753	16639	5428
754	16659	5405
755	16679	5383
756	16700	5360
757	16720	5338
758	16739	5315
759	16760	5292
760	16778	5269
761	16797	5246
762	16820	5224
763	16838	5201
764	16860	5179
765	16880	5156
766	16898	5133
767	16917	5110
768	16936	5087
769	16954	5064
770	16973	5041
771	16991	5018
772	17025	4999
773	17055	4979
774	17072	4956
775	17091	4933
776	17112	4911
777	17133	4889
778	17152	4866
779	17174	4844
780	17194	4821
781	17215	4799
782	17233	4776
783	17253	4753
784	17276	4731
785	17298	4709
786	17318	4687
787	17339	4664
788	17359	4642
789	17377	4619
790	17396	4596
791	17419	4574
792	17437	4551
793	17458	4529
794	17479	4507
795	17496	4484
796	17516	4461
797	17538	4439
798	17558	4417
799	17577	4394
800	17595	4371
801	17614	4348
802	17636	4326
803	17657	4304
804	17677	4282
805	17696	4259
806	17715	4236
807	17734	4214
808	17755	4192
809	17777	4169
810	17797	4147
811	17820	4125
812	17841	4103
813	17862	4081
814	17884	4059
815	17906	4037
816	17925	4015
817	17946	3992
818	17970	3971
819	17988	3948
820	18007	3926
821	18027	3903
822	18052	3882
823	18094	3864
824	18114	3842
825	18134	3819
826	18157	3798
827	18177	3776
828	18198	3753
829	18216	3731
830	18235	3708
831	18257	3686
832	18275	3663
833	18294	3641
834	18313	3618
835	18331	3596
836	18348	3573
837	18367	3550
838	18387	3528
839	18407	3506
840	18426	3483
841	18446	3461
842	18463	3438
843	18483	3416
844	18507	3394
845	18525	3372
846	18544	3349
847	18564	3327
848	18584	3305
849	18602	3282
850	18622	3260
851	18641	3238
852	18660	3215
853	18681	3193
854	18700	3171
855	18719	3149
856	18737	3126
857	18758	3104
858	18779	3082
859	18801	3060
860	18820	3038
861	18838	3015
862	18857	2993
863	18878	2971
864	18895	2949
865	18913	2926
866	18930	2904
867	18950	2881
868	18968	2859
869	18986	2837
870	19006	2814
871	19025	2792
872	19045	2770
873	19064	2748
874	19084	2726
875	19131	2708
876	19152	2686
877	19171	2663
878	19188	2641
879	19206	2619
880	19225	2596
881	19249	2575
882	19267	2552
883	19288	2531
884	19309	2509
885	19330	2487
886	19349	2465
887	19367	2442
888	19387	2420
889	19407	2398
890	19430	2376
891	19449	2354
892	19468	2332
893	19491	2311
894	19512	2289
895	19535	2267
896	19554	2245
897	19572	2223
898	19592	2201
899	19612	2179
900	19632	2157
901	19651	2135
902	19670	2112
903	19689	2090
904	19710	2069
905	19731	2047
906	19749	2025
907	19769	2003
908	19795	1981
909	19817	1960
910	19841	1938
911	19862	1916
912	19881	1894
913	19903	1872
914	19922	1850
915	19945	1829
916	19964	1807
917	19985	1785
918	20006	1763
919	20029	1741
920	20052	1720
921	20073	1698
922	20093	1676
923	20113	1654
924	20137	1632
925	20188	1613
926	20210	1591
927	20228	1569
928	20249	1547
929	20267	1525
930	20284	1503
931	20302	1481
932	20322	1459
933	20342	1437
934	20362	1415
935	20380	1393
936	20398	1371
937	20417	1349
938	20437	1327
939	20460	1305
940	20480	1284
941	20499	1262
942	20517	1240
943	20536	1218
944	20554	1196
945	20573	1174
946	20593	1152
947	20611	1130
948	20631	1108
949	20653	1087
950	20673	1065
951	20692	1043
952	20711	1021
953	20730	999
954	20747	977
955	20766	955
956	20787	934
957	20808	912
958	20828	890
959	20847	868
960	20865	846
961	20883	824
962	20903	803
963	20923	781
964	20942	759
965	20961	737
966	20980	715
967	21001	694
968	21018	672
969	21038	650
970	21056	628
971	21074	607
972	21095	585
973	21116	563
974	21137	541
975	21156	520
976	21175	498
977	21213	477
978	21243	455
979	21265	433
980	21282	412
981	21301	390
982	21320	368
983	21336	346
984	21356	325
985	21376	303
986	21394	281
987	21414	260
988	21431	238
989	21451	216
990	21472	195
991	21496	173
992	21516	151
993	21533	129
994	21554	108
995	21573	86
996	21590	64
997	21610	43
998	21629	21
999	21648	0
